id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
1497,LAMETEC 100 MG,PINT PHARMA COLOMBIA S.A.S.,INVIMA 2018M-0005879-R1,06/09/2006,02/08/2023,Vigente,19963314,4,10,MUESTRA MEDICA CAJA POR 10 TABLETAS EN BLISTER ALUMINIO/PVC (AMARILLO TRANSPARENTE),Activo,07/09/2007,N/A,Si,U,N03AX09,LAMOTRIGINA,ORAL,A,LAMOTRIGINA,mg,100,TABLETA,TABLETA,PINT PHARMA COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1498,DROSPERA,EXELTIS S.A.S.,INVIMA 2015M-0016402,10/16/2015,11/03/2020,Vigente,20077138,11,168,USO INSTITUCIONAL - CAJA POR 6 BLÍSTER DE PVC-PVDC / ALUMINIO CON 21 TABLETAS RECUBIERTAS DE ACTIVO MÁS 7 TABLETAS RECUBIERTAS DE PLACEBO CADA UNO. CADA BLÍSTER CON PORTABLISTER.,Activo,11/08/2016,N/A,No,U,G03AA12,DROSPIRENONA Y ESTROGENO,ORAL,A,DROSPIRENONA,mg,3,TABLETA CUBIERTA CON PELÍCULA,TABLETA RECUBIERTA,LABORATORIOS LEON FARMA S.A.,FABRICANTE,IMPORTAR Y VENDER
1499,KEPPRA ® TABLETAS 1000 MG,GLAXOSMITHKLINE TRADING SERVICES LIMITED,INVIMA 2019M-0002929-R2,11/28/2003,07/29/2024,Vigente,19936411,6,20,MUESTRA MEDICA: EN CAJA X 20 TABLETAS RECUBIERTAS EN BLISTER DE ALUMINIO/PVC.,Activo,05/12/2011,N/A,Si,U,N03AX14,LEVETIRACETAM,ORAL,A,LEVETIRACETAM,mg,"1,000",TABLETA RECUBIERTA,TABLETA RECUBIERTA,UCB PHARMA SA,FABRICANTE,IMPORTAR Y VENDER
1500,DEXAMETASONA SODIO FOSFATO+ POLIMIXINA B SULFATO + NEOMICINA SULFATOSOLUCION OFTALMICA,ROWELL LABORATORIOS S.A.S,INVIMA 2016M-0003919-R1,11/10/2004,10/06/2021,Vigente,19943646,2,1,FRASCO GOTERO EN PEBD. IMPRESO. TAPA DE SEGURIDAD. POR 5 ML. CAJA PLEGADIZA DE CARTULINA PVP POR 1 FRASCO,Activo,04/16/2007,N/A,No,U,S01AA20,ANTIBIOTICOS EN COMBINACION CON OTROS F RMACOS,CONJUNTIVAL,C,DEXAMETASONA SODIO FOSFATO 1.3 MG EQUIVALENTE A DEXAMENTASONA BASE,mg,1,1 ML,SOLUCION OFTALMICA,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1501,DOLIVIUM® FORTE,COOPERATIVA NACIONAL DE DROGUISTAS DETALLISTAS - COOPIDROGAS,INVIMA 2015M-0016343,10/05/2015,10/30/2020,Vigente,20075735,5,60,CAJA POR 60 CAPSULAS BLANDAS EN BLISTER DE PVC/PVDC/ALUMINIO POR 10 CAPSULAS BLANDAS CADA UNO.,Activo,01/15/2015,N/A,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,IBUPROFENO,mg,400,CAPSULA,CAPSULA BLANDA,HIGH NUTRITION COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER
1502,IRBEVITAE PLUS ® 300+12.5 MG TABLETAS RECUBIERTAS,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2019M-0018901,03/27/2019,04/16/2024,Vigente,20138567,4,56,2H1026021000103 HIDROCLOROTIAZIDA 12.5000 MG/IRBESARTAN 300.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (IRBEVITAE PLUS) TABLETA 1.0000U / CAJA X 56. CAJA POR 56 TABLETAS RECUBIERTAS EN 8 BLÍSTER DE ACLAR VPA10400 BLANCO (PCTFE/PE/PVC) Y ALUMINIO.,Activo,10/03/2018,N/A,No,U,C09DA04,IRBESARTAN Y DIURETICOS,ORAL,A,IRBESARTAN,mg,300,TABLETA RECUBIERTA COLOR ROSADO,TABLETA RECUBIERTA,ATLANTIC PHARMA- PRODUÇ?ES FARMAC?UTICAS S.A,FABRICANTE,IMPORTAR Y VENDER
1503,HIDRANTA® 60 MEQ SOLUCION ORAL,FARMA DE COLOMBIA S.A.S.,INVIMA 2019M-0014646-R1,10/10/2013,01/29/2025,Vigente,20057513,5,500,MUESTRA MEDICA: FRASCO PEAD POR 500 ML SABOR MANDARINA,Activo,09/29/2014,N/A,Si,U,A07CA99,ELECTROLITOS CON CARBOHIDRATOS REHIDRATACION ORAL,ORAL,B,DEXTROSA MONOHIDRATO EQUIVALENTE A DEXTROSA ANHIDRA,mg,"1,080",100ML DE SOLUCION,SOLUCION ORAL,QUIBI S.A. EN REESTRUCTURACION,FABRICANTE,FABRICAR Y VENDER
1504,KELAC 15 MG,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2018M-0018263,06/27/2018,07/16/2023,Vigente,20120721,2,28,CAJA DE CARTÓN X 28 TABLETAS RECUBIERTAS EN BLÍSTER ALUMINIO/ALUMINIO (ALU/ALU) POR 7 TABLETAS.,Activo,06/06/2018,N/A,No,U,N06AX26,VORTIOXETINA,ORAL,A,19.067 MG VORTIOXETINA HIDROBROMURO EQUIVALENTE A VORTIOXETINA,mg,15,TABLETA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1505,FEXOFENADINA TABLETA RECUBIERTA X180 MG,LABORATORIOS ECAR S.A,INVIMA 2016M-0016857,02/23/2016,03/18/2021,Vigente,20094553,16,300,INSTITUCIONAL: CAJA CARTÓN X 300 TABLETAS CON 30 BLISTER EN PVC/PVDC/ALUMINIO X 10 TABLETAS RECUBIERTAS CADA UNO.,Activo,02/10/2016,N/A,No,U,R06AX26,FEXOFENADINA,ORAL,A,CLORHIDRATO DE FEXOFENADINA,mg,180,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS ECAR S.A,FABRICANTE,FABRICAR Y VENDER
1506,GELOFUSINE® ISO 4%,B. BRAUN MELSUNGEN A.G.,INVIMA 2017M-0012585-R1,10/11/2011,06/09/2022,Vigente,20029994,2,"10,000",BOLSA PLASTICA (ECOBAG FLEXIBLE) POR 500 ML EN CAJA POR 20 UNIDADES.,Inactivo,06/08/2011,05/26/2017,No,ml,B05AA06,AGENTES GELATINAS,INTRAVENOSA,A,GELATINA SUCCILINADA,g,20,500 ML DE SOLUCION,SOLUCION INYECTABLE,B. BRAUN MEDICAL AG,FABRICANTE,IMPORTAR Y VENDER
1507,FERBIN ® C.L. 250 MG CAPSULA,NOVAMED S.A.,INVIMA 2016M-0011592-R1,11/19/2010,09/07/2021,Vigente,20016549,87,1,MUESTRA MEDICA CON NOMBRE GENERICO CAJA PLEGADIZA CON 1 BLISTER FOIL ALUMINIO /PVC/PVDC/TRANSPARENTE INCOLORO POR 1 CAPSULA.,Activo,08/04/2016,N/A,Si,U,N03AG01,VALPROICO ACIDO,ORAL,A,ACIDO VALPROICO,mg,250,CAPSULA DURA CON CONTENIDO LIQUIDO,CAPSULA DURA,C.I. FARMACAPSULAS S.A.,FABRICANTE,FABRICAR Y VENDER
1508,EGOGYN 1000 UI,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2017M-0012400-R1,07/19/2011,06/22/2022,Vigente,20024521,16,2,MUESTRA MEDICA: CAJA POR 2 CÁPSULAS BLANDAS DE GELATINA EN EMPAQUE INDIVIDUAL TIPO BLISTER PVDC/ALUMINIO POR 2 CAPSULAS,Inactivo,04/18/2012,06/22/2018,Si,U,A11HA03,TOCOFEROL (VIT E),ORAL,A,DL- ALFA TOCOFERIL ACETATO (VITAMINA E SINTETICA) EQUIVALENTE A VITAMINA E,UI,"1,000",CAPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
1509,AMVALH® 5 MG. /160 MG. /12. 5 MG.TABLETA RECUBIERTA.,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2019M-0018921,04/04/2019,04/23/2024,Vigente,20156117,2,14,CAJA POR 14 TABLETAS RECUBIERTAS EN BLISTER LAMINADO ALUMINIO /ALUMINIO POR 7 TABLETAS RECUBIERTA,Activo,03/19/2019,N/A,No,U,C09DX01,VALSARTAN. AMLODIPINA E HIDROCLOROTIAZIDA.,ORAL,A,HIDROCLOROTIAZIDA,mg,12.5,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1510,BETAFERON.,BAYER A.G.,INVIMA 2020M-006284-R2,03/21/1997,04/24/2025,Vigente,202595,3,15,MUESTRA MÉDICA: CAJA PLEGADIZA POR 15 EMPAQUES INDIVIDUALES CONTENIENDO: UN VIAL DE VIDRIO TIPO I CON POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCIÓN INYECTABLE + UNA JERINGA PRELLENADA DE VIDRIO TIPO I CON DILUENTE (CLORURO DE SODIO 0.54%)+ UN ADAPTADOR CON AGUJA+ 2 TOALLAS IMPREGNADAS EN SOLUCIÓN ALCOHOLICA.,Activo,02/10/2020,N/A,Si,U,L03AB08,INTERFERON BETA-1B,SUBCUTANEA,A,INTERFERON BETA-1B (EQUIVALENTE A 8000000 U.I./ML.),mg.,0.25,ML DE SOLUCIÓN RECONSTITUIDA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,BAYER S.A.,IMPORTADOR,IMPORTAR Y VENDER
1511,BRIA®,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2016M-0017210,08/01/2016,08/22/2021,Vigente,20093180,1,1,FRASCO PEAD POR 15 ML,Activo,07/18/2016,N/A,No,U,R03BB01,IPATROPIO BROMURO,INTRANASAL,C,BROMURO DE IPRATROPIO MONOHIDRATO (EQUIVALENTE A BROMURO DE IPRATROPIO 0.060 G),g,0.0626,100 ML DE SOLUCION NASAL,SOLUCION NASAL,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
1512,SUPRIBAC® F SUSPENSIÓN,BIOQUIFAR PHARMACEUTICA S.A.,INVIMA 2020M-0002836-R2,10/17/2003,02/12/2025,Vigente,19939728,2,1,CAJA DE CARTULINA CON FRASCO PET ÁMBAR CON TAPA DE PP  X 120 ML,Activo,11/10/2006,N/A,No,U,J01EE01,SULFAMETOXAZOL Y TRIMETOPRIM,ORAL,E,SULFAMETOXAZOL,g,8,100 ML,SUSPENSION ORAL,GONHER FARMACEUTICA LTDA,FABRICANTE,FABRICAR Y VENDER
1513,BISOPROLOL FUMARATO 1.25 MG TABLETAS RECUBIERTAS,GENFAR S.A.,INVIMA 2016M-0017511,12/16/2016,01/25/2022,Vigente,20103365,14,2,MUESTRA MÉDICA: CAJA POR 2 TABLETAS RECUBIERTAS EN UN BLÍSTER PVC / PVDC TRANSPARENTE / ALUMINIO POR 2 TABLETAS RECUBIERTAS.,Activo,09/07/2016,N/A,Si,U,C07AB07,BISOPROLOL,ORAL,A,BISOPROLOL FUMARATO,mg,1.25,CADA TABLETA RECUBIERTA CONTIENE:,TABLETA RECUBIERTA,FAREVA VILLA RICA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1514,TAFLAX GRIP,CLOSTER PHARMA S.A.S.,INVIMA 2016M-0016905,03/09/2016,04/14/2021,Vigente,20060362,11,1,BLISTER POR 1 CÁPSULA EN CAJA PLEGADIZA PVC/PVDC TRANSPARENTE,Activo,06/01/2015,N/A,Si,U,R06AE09,LEVOCETIRIZINA,ORAL,A,DEXIBUPROFENO,mg,200,CÁPSULA DURA,CAPSULA DURA,CLARIPACK S.A.,FABRICANTE,FABRICAR Y VENDER
1515,TENSYPRES - K® TABLETAS 50 MG,ANGLOPHARMA S.A.,INVIMA 2018M-0012913-R1,02/20/2012,01/30/2024,Vigente,20032072,8,50,CAJA POR 50 TABLETAS EN BLISTER PVC/ALUMINIO POR 10 TABLETAS,Activo,08/24/2018,N/A,No,U,C09CA01,LOSARTAN,ORAL,A,LOSARTAN POTASICO,mg,50,TABLETA,TABLETA,ANGLOPHARMA S.A.,FABRICANTE,FABRICAR Y VENDER
1516,ACI-BIOGEL® SUSPENSION,GRÜNENTHAL COLOMBIANA S.A.,INVIMA 2010 M-003275 R3,04/07/2000,06/17/2020,Vigente,37223,6,360,FRASCO DE PEAD BLANCO CON TAPA DE SEGURIDAD. POR 360 ML DE SUSPENSION SABOR CHICLE.,Activo,04/14/2010,N/A,No,ml,A02AF02,COMBINACIONES DE SALES Y ANTIFLATULENTOS,ORAL,B,GEL FLUIDO DE HIDROXIDO DE ALUMINIO. EQUIVALENTE A HIDROXIDO DE ALUMINIO,g,4,100 ML,SUSPENSION ORAL,EUROFARMA COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER
1517,DETRUSITOL® SR 4 MG CAPSULAS,PFIZER S.A.S.,INVIMA 2019M-0001173-R2,03/13/2002,04/10/2024,Vigente,19925134,18,90,MUESTRA MEDICA: FRASCO HDPE CON TAPA HDPE / LDPE X 90 CAPSULAS DE LIBERACION PROLONGADA,Activo,08/16/2012,N/A,Si,U,G04BD07,TOLTERODINA,ORAL,A,TOLTERODINA L- TARTRATO,mg,4,CÁPSULA DE LIBERACIÓN PROLONGADA,CAPSULA DE LIBERACION PROLONGADA,PFIZER S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1518,ACETAMINOFEN 500 MG,AMERICAN GENERICS S.A.S.,INVIMA 2018M-0002317-R2,03/28/2003,06/21/2023,Vigente,19935303,3,50,CAJA POR 50 TABLETAS EN 5 BLISTER PVC INCOLORO MAS PAPEL ALUMINIO POR 10 TABLETAS CADA UNO,Activo,11/10/2006,N/A,No,U,N02BE01,PARACETAMOL,ORAL,A,ACETAMINOFEN,mg,500,TABLETA,TABLETA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
1519,ADVIL® TABLETAS RECUBIERTAS,PFIZER S.A.S.,INVIMA 2016 M014705-R2,01/01/1999,03/09/2021,Vigente,19908266,21,108,CAJA POR 18 BLISTER ALUMINIO / TRILAMINADO (PVC-PE-PVDC) CON 6 TABLETAS RECUBIERTAS CADA UNO.,Inactivo,05/04/2007,02/03/2016,No,U,M01AE01,IBUPROFENO,ORAL,A,IBUPROFENO,mg,200,GRAGEA,TABLETA CUBIERTA (GRAGEA),WYETH PHARMACEUTICAL COMPANY,FABRICANTE,IMPORTAR Y VENDER
1520,LASONIL ACTIVE ® GEL.,AH ROBINS S.A.S.,INVIMA 2016M-0017310,09/08/2016,09/26/2021,Vigente,20105066,9,20,CAJA PLEGADIZA CON 20 SACHET TRILAMINADOS POR 5 GRAMOS C/U .,Activo,09/06/2016,N/A,No,U,C05BA51,HEPARINOIDE COMBINACIONES,TOPICA (EXTERNA),D,SALICILATO DE DIETILAMINA,g,5,100 GRAMOS DE GEL,GEL TOPICO,SPAI - SONS PHARMACEUTICAL INTERNATIONAL COSMETICS LTDA.,FABRICANTE,FABRICAR Y VENDER
1521,LENOSIDE 5,CIPLA LTD,INVIMA 2019M-0019481,12/03/2019,12/18/2024,Vigente,20137943,1,21,1L1006541002101: CAJA PLEGADIZA CON 21 CÁPSULAS EN 3 BLÍSTER PVC/ACLAR TRANSPARENTE - ALUMINIO X 7 CÁPSULAS CADA UNO + INSERTO.,Activo,06/25/2018,N/A,No,U,L04AX04,LENALIDOMIDA,ORAL,A,LENALIDOMIDA,mg,5,CAPSULA,CAPSULA DURA,CIPLA LIMITED,FABRICANTE,IMPORTAR Y VENDER
1522,DYNAPAR AQ ® SOLUCION INYECTABLE,TROIKAA PHARMACEUTICALS LIMITED,INVIMA 2015M-0016674,12/11/2015,12/29/2020,Vigente,20090901,1,5,CAJA POR 5 AMPOLLAS DE VIDRIO TRANSPARENTE TIPO I CADA UNA CON 1 ML DE SOLUCION.,Activo,05/22/2015,N/A,No,U,M01AB05,DICLOFENACO,INTRAMUSCULAR,A,DICLOFENACO SODICO,mg,75,CADA AMPOLLA CON 1 ML DE SOLUCIÓN,SOLUCION INYECTABLE,SICMAFARMA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1523,HALOPERIDOL 5MG/ML SOLUCION INYECTABLE,SALUS PHARMA LABS. S.A.S,INVIMA 2018M-0014633-R1,10/10/2013,12/20/2023,Vigente,20061284,2,10,CAJA X 10 AMPOLLAS DE VIDRIO TIPO I ÁMBAR POR 1 ML CADA UNA.,Activo,09/11/2013,N/A,No,U,N05AD01,HALOPERIDOL,INTRAMUSCULAR,A,HALOPERIDOL,mg,5,AMPOLLA X 1 ML,SOLUCION INYECTABLE,VIDRIO TECNICO DE COLOMBIA S.A. (VITECO S.A.),FABRICANTE,FABRICAR Y VENDER
1524,RYTMONORM® 300 MG TABLETAS,LABORATORIOS FRANCO COLOMBIANO LAFRANCOL S.A.S,INVIMA 2015M-004879-R3,01/01/1999,08/27/2020,Vigente,45821,20,10,CAJA POR 10 TABLETAS EN BLISTER DE PVC/PVDC/ALUMINIO POR 10 TABLETAS.,Activo,11/26/2015,N/A,No,U,C01BC03,PROPAFENONA,ORAL,A,PROPAFENONA CLORHIDRATO,mg,300,TABLETA RECUBIERTA,TABLETA CUBIERTA (GRAGEA),ABBVIE DEUTSCHLAND GMBH & CO. KG,FABRICANTE,IMPORTAR Y VENDER
1525,AMLODIPINO 5 MG,COLOMBIANA DE SUMINISTROS MEDICOS HOSPITALARIOS LTDA - COLMED LTDA,INVIMA 2010M-0010806,05/20/2010,06/03/2020,Vigente,20009362,2,20,CAJA POR 20 CAPSULAS BLANDAS EN BLISTER PVDC/ALUMINIO POR 10 CAPSULAS CADA UNO.,Activo,01/25/2010,N/A,No,U,C08CA01,AMLODIPINO,ORAL,A,AMLODIPINO BESILATO EQUIVALENTE A AMLODIPINO BASE,mg,5,CAPSULA BLANDA,CAPSULA BLANDA,PRODUCTORA DE CAPSULAS DE GELATINA S. A.  PROCAPS S. A.,FABRICANTE,FABRICAR Y VENDER
1526,CIPRO ® 750 COMPRIMIDOS,BAYER A.G.,INVIMA 2019M-14306-R3,08/18/1993,03/08/2024,Vigente,48831,1,6,CAJA PLEGABLE EN CARTÓN POR 6 COMPRIMIDOS EN FOIL TERMOSELLABLE.,Inactivo,11/10/2006,05/13/2019,No,U,J01MA02,CIPROFLOXACINA,ORAL,A,CIPROFLOXACINO CLORHIDRATO MONOHIDRATO 874.5 MG EQUIVALENTE A CIPROFLOXACINO BASE,mg,750,TABLETA RECUBIERTA,TABLETA RECUBIERTA,BAYER S.A.,IMPORTADOR,IMPORTAR Y VENDER
1527,TERRAVITAL,VITALIS S.A. C.I.,INVIMA 2018M-0014263-R1,05/16/2013,07/25/2023,Vigente,20059503,4,100,CAJA POR 100 TUBOS DE ALUMINIO. COLOR BLANCO CON RECUBRIMIENTO INTERNO Y TAPA BLANCA CON ETIQUETA POR 10 G. C/U.,Activo,05/06/2013,N/A,No,U,S01AA30,ANTIBIOTICOS DIFERENTES COMBINACIONES,CONJUNTIVAL,D,OXITETRACICLINA CLORHIDRATO MICRONIZADA ESTERIL EQUIVALENTE A OXITETRACICLINA,g,0.5,100 G DE UNGUENTO OFTALMICO ESTERIL,UNGUENTO OFTALMICO,ARBOFARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1528,LUDABINA® 50 MG,FARMACEUTICA PARAGUAYA S.A,INVIMA 2010M-0010585,03/18/2010,04/30/2020,Vigente,20007539,2,5,CAJA POR 5 FRASCOS AMPOLLAS EN VIDRIO TIPO I CONTENIENDO EL POLVO LIOFILIZADO.,Activo,09/10/2009,N/A,No,U,L01BB05,FLUDARABINA,INTRAVENOSA,A,FLUDARABINA FOSFATO,mg,50,FRASCO AMPOLLA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,TECNOFARMA COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1529,BISOPROLOL FUMARATO 10 MG TABLETAS RECUBIERTAS,GENFAR S.A.,INVIMA 2016M-0017084,06/07/2016,07/07/2021,Vigente,20096365,3,14,CAJA POR 14 TABLETAS RECUBIERTAS EN 2 BLÍSTER PVC/PVDC TRANSPARENTE /ALUMINIO POR 7 TABLETAS RECUBIERTAS CADA UNO.,Activo,01/14/2016,N/A,No,U,C07AB07,BISOPROLOL,ORAL,A,BISOPROLOL FUMARATO,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,FAREVA VILLA RICA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1530,NENEDENT® GOTAS,PROCTER & GAMBLE COLOMBIA LTDA,INVIMA 2019M-0009375-R1,03/17/2009,08/22/2024,Vigente,19986087,4,10,FRASCO PEBD BLANCO POR 10 ML DE SOLUCION CON TAPA DE SEGURIDAD EN POLIPROPILENO EMPACADO EN CAJA INDIVIDUAL,Activo,04/13/2015,N/A,Si,ml,N01BB02,LIDOCAINA,BUCAL,B,LIDOCAINA CLORHIDRATO,g,0.55,100ML DE SOLUCION,SOLUCION BUCAL,ALTEA FARMACEUTICA S.A.,FABRICANTE,FABRICAR Y VENDER
1531,BECLOMAR® INHALADOR 250 MCG.,BIOTOSCANA S.A.,INVIMA 2018M-0008000-R1,04/21/2008,01/02/2024,Vigente,19988819,1,18.26,CAJA PLEGADIZA CON UN ENVASE DE ALUMINIO Y VALVULA DOSIFICADORA POR 200 DOSIS.,Activo,04/11/2008,N/A,No,g,R03BA01,BECLOMETASONA,INHALACION,F,BECLOMETASONA DIPROPIONATO,g.,0.329,CADA 100 G DE SUSPENSIÓN,AEROSOLES,BIOTOSCANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
1532,FLUQUADRI® VACUNA ANTIFLUENZA 0.25ML,SANOFI PASTEUR INC.,INVIMA 2015M-0016258,09/10/2015,09/30/2020,Vigente,20078419,2,10,CAJA POR 10 JERINGAS PRELLENADAS MONODOSIS DE VIDRIO DE BOROSILICATO TIPO I POR 0.25ML. CON ADAPTADOR LUER-LOCK. UN TAPÓN-EMBOLO GRIS DE BUTILO SIN LÁTEX Y CAPUCHÓN SIN LÁTEX,Activo,09/03/2015,N/A,No,U,J07BB02,INFLUENZA ANTIGENO PURIFICADO,INTRAMUSCULAR,A,B/WASHINGTON/02/2019,mcg,7.5,SIN DATO,SUSPENSION INYECTABLE,SANOFI PASTEUR S.A.,IMPORTADOR,IMPORTAR Y VENDER
1533,LEVEVITAE ® 500 MG TABLETA RECUBIERTA,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2016M-0017160,07/11/2016,07/28/2021,Vigente,20078014,1,10,CAJA PLEGADIZA CON 1 BLISTER EN PVC/PE/PVDC/ALUMINIO POR 10 TABLETAS,Activo,03/26/2015,N/A,Si,U,N03AX14,LEVETIRACETAM,ORAL,A,LEVETIRACETAM,mg,500,TABLETA RECUBIERTA,TABLETA RECUBIERTA,GALENICUM HEALTH COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
1534,NOPION PLUS CREMA,TECNOFAR TQ S.A.S,INVIMA 2010 M-014725 R1,09/26/2000,06/24/2020,Vigente,19908044,3,50,CAJA CON FRASCO EN POLIETILENO DE BAJA DENSIDAD POR 50G Y TAPA DE POLIPROPILENO,Activo,11/10/2006,N/A,No,g,P03AC04,PERMETRINA,TOPICA (EXTERNA),D,PERMETRINA,g,1,100 GR,CREMA TOPICA,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
1535,ATOVAROL C.B.G.® 10 MG,PROCAPS S.A.,INVIMA 2019M-0003111-R2,02/17/2004,01/29/2025,Vigente,19942638,15,20,CAJA X 20 CÁPSULAS BLANDAS EN EMPAQUE INDIVIDUAL TIPO BLÍSTER ALUMINIO/ALUMINIO POR 10 CÁPSULAS C/U,Activo,10/12/2017,N/A,No,U,C10AA05,ATORVASTATIN,ORAL,A,ATORVASTATINA CALCICA 10.36 MG EQUIVALENTE A ATORVASTATINA BASE,mg,10,CAPSULA BLANDA,CAPSULA BLANDA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
1536,PIREL® SUSPENSION AL 5%,ANGLOPHARMA S.A.,INVIMA 2010 M-002657 R3,03/09/2000,05/14/2020,Vigente,36569,1,15,FRASCO EN POLIETILENO DE ALTA DENSIDAD X 15 ML DE SUSPENSIÓN,Activo,11/10/2006,N/A,No,ml,P02CC01,PIRANTEL,ORAL,B,PAMOATO DE PIRANTEL EQUIVALENTE A PIRANTEL BASE,g,5,100 ML DE SUSPENSION,SUSPENSION ORAL,ANGLOPHARMA S.A.,FABRICANTE,FABRICAR Y VENDER
1537,BIO-GLICOL®,BIOFLUIDOS & FARMA S.A.S.,INVIMA 2015M-0016350,10/05/2015,11/17/2020,Vigente,20084636,15,1,CAJA POR 4 SOBRES DE 8.5 GRAMOS,Activo,09/01/2015,N/A,No,U,A06AD15,MACROGOL,ORAL,D,CADA 100 GRAMOS CONTIENE: POLIETILENGLICOL 3350,g,100,POLVO PARA RECONSTITUIR A SOLUCION ORAL,POLVO PARA RECONSTITUIR A SOLUCION ORAL,QUIBI S.A. EN REESTRUCTURACION,FABRICANTE,FABRICAR Y VENDER
1538,DERMATREX® CREMA,LABORATORIOS QUIPROPHARMA S.A.S,INVIMA 2020M-013107- R2,06/03/1999,02/19/2025,Vigente,19900428,2,5,MUESTRA MEDICA : CAJA DE CARTULINA X 1 TUBO COLAPSIBLE METALICO CON RECUBRIMIENTO INTERNO EPOXIFENOLICO X 5 G DE CREMA.,Activo,08/25/2015,N/A,Si,g,D07CB04,DEXAMETASONA Y ANTIBIOTICOS,TOPICA (EXTERNA),D,DEXAMETASONA,g,0.04,100 G.,CREMA TOPICA,COASPHARMA S.A.S.,FABRICANTE,FABRICAR Y VENDER
1539,BONDIGEST® 10 MG,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2018M-0009534-R1,05/04/2009,12/28/2023,Vigente,20001661,19,2,MUESTRA MÉDICA CAJA DE CARTÓN X 2 TABLETAS EN BLÍSTER PVDC/ALUMINIO INCOLORO.,Activo,10/09/2017,N/A,Si,U,A03FA99,MOSAPRIDA,ORAL,A,MOSAPRIDA CITRATO,mg.,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
1540,ESCITAVITAE® 20MG TABLETAS RECUBIERTAS,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2019M-0018940,04/10/2019,05/03/2024,Vigente,20138566,5,7,MUESTRA MÉDICA: 1E1005031003104 ESCITALOPRAM 20.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ESCITAVITAE) TABLETA 1.0000U / CAJA X 7. CAJA POR 7 TABLETAS RECUBIERTAS COLOR BLANCO EN BLÍSTER DE PVC/PVDC/PVC TRANSPARENTE Y ALUMINIO.,Activo,10/23/2018,N/A,Si,U,N06AB10,ESCITALOPRAM,ORAL,A,ESCITALOPRAM OXALATO 25.55 MG EQUIVALENTE A ESCITALOPRAM,mg,20,TABLETA RECUBIERTA COLOR BLANCO,TABLETA RECUBIERTA,ATLANTIC PHARMA- PRODUÇ?ES FARMAC?UTICAS S.A,FABRICANTE,IMPORTAR Y VENDER
